10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_1,1_T_2_0,1_T_2_1,3_A_2,3_T_1_0,3_T_1_1,3_T_2
20500.5005005005,28251.41583257102,72865.14751947469,13455.38517076473,54036.178181280964,36755.78167602285,13233.342820141725,33757.72003140347,39334.28217652335,0.0,30067.062851545197,18833.781676022852
20540.54054054054,28258.385366408595,72935.82878580157,13454.603612437775,54114.61053977239,36794.60707610508,13232.988694231693,33795.684917437924,39413.14761664563,0.0,30104.67361166962,18872.60707610508
20580.58058058058,28265.331726556666,73006.53948398696,13453.823489807482,54193.04772073614,36833.435605271814,13232.63442431241,33833.65620565064,39492.01618585239,0.0,30142.29062996304,18911.435605271814
20620.62062062062,28272.255013613223,73077.27949003185,13453.044801032529,54271.489702612525,36872.26725182253,13232.280016916942,33871.6338661075,39570.887872443156,0.0,30179.91388302444,18950.26725182253
20660.660660660666,28279.155327685687,73148.04868054045,13452.267544251963,54349.93646397417,36911.10200411307,13231.925478502591,33909.61786906288,39649.762664773734,0.0,30217.54334756547,18989.10200411307
20700.700700700705,28286.03276839318,73218.84693271731,13451.491717585586,54428.38798352491,36949.93985055525,13231.570815451698,33947.608184958095,39728.64055125595,0.0,30255.179000409793,19027.93985055525
20740.740740740745,28292.88743486877,73289.67412436442,13450.717319134365,54506.844240098835,36988.7807796166,13231.2160340725,33985.60478441995,39807.52152035734,0.0,30292.82081849245,19066.780779616598
20780.780780780784,28299.719425761745,73360.53013387826,13449.944346980808,54585.30521265921,37027.624779820006,13230.861140599944,34023.60763825929,39886.40556060079,0.0,30330.46877885923,19105.62477982001
20820.820820820823,28306.528839239807,73431.41484024702,13449.172799189359,54663.77088029747,37066.47183974341,13230.506141196483,34061.616717469515,39965.29266056423,0.0,30368.122858665996,19144.47183974341
20860.860860860863,28313.31577299135,73502.32812304758,13448.402673806759,54742.24122223217,37105.32194801947,13230.151041952902,34099.631993225164,40044.18280888033,0.0,30405.783035178072,19183.321948019468
20900.900900900902,28320.08032422768,73573.26986244283,13447.633968862432,54820.716217808076,37144.17509333526,13229.795848889093,34137.653436880515,40123.075994236155,0.0,30443.44928576961,19222.175093335256
20940.94094094094,28326.822589685242,73644.23993917865,13446.866682368835,54899.19584649505,37183.03126443195,13229.440567954829,34175.68101996812,40201.972205372884,0.0,30481.121587922946,19261.031264431946
20980.980980980985,28333.54266562783,73715.23823458116,13446.100812321827,54977.680087887165,37221.8904501045,13229.085205030555,34213.71471419746,40280.871431085485,0.0,30518.79991922801,19299.8904501045
21021.021021021024,28340.24064784882,73786.26463055387,13445.336356701015,55056.16892170167,37260.75263920134,13228.729765928138,34251.754491453525,40359.77366022237,0.0,30556.48425738166,19338.752639201342
21061.061061061064,28346.916631673368,73857.31900957481,13444.573313470115,55134.66232777806,37299.61782062409,13228.374256391644,34289.800323795476,40438.678881685155,0.0,30594.174580187122,19377.61782062409
21101.101101101103,28353.570711960634,73928.4012546938,13443.811680577288,55213.160286077145,37338.48598332722,13228.018682098058,34327.852183455274,40517.58708442832,0.0,30631.870865553334,19416.485983327217
21141.141141141143,28360.202983105955,73999.51124952956,13443.051455955469,55291.66277668004,37377.357116317755,13227.663048658034,34365.91004283633,40596.498257458894,0.0,30669.57309149437,19455.357116317755
21181.181181181182,28366.813539043054,74070.64887826695,13442.292637522709,55370.169779787284,37416.231208654994,13227.307361616626,34403.97387451219,40675.41238983618,0.0,30707.281236128812,19494.231208654997
21221.22122122122,28373.402473246213,74141.81402565417,13441.535223182505,55448.681275717885,37455.10824945019,13226.951626453996,34442.04365122517,40754.329470671415,0.0,30744.99527767917,19533.108249450193
21261.26126126126,28379.96987873249,74213.00657700005,13440.77921082412,55527.19724490843,37493.98822786627,13226.595848586154,34480.11934588512,40833.24948912753,0.0,30782.715194471282,19571.98822786627
21301.301301301304,28386.51584806384,74284.2264181712,13440.024598322894,55605.71766791213,37532.871133117515,13226.240033365633,34518.20093156809,40912.172434418826,0.0,30820.440964933725,19610.871133117515
21341.341341341344,28393.04047334932,74355.47343558923,13439.271383540567,55684.24252539799,37571.75695446928,13225.884186082196,34556.28838151501,40991.098295810625,0.0,30858.172567597212,19649.756954469278
21381.381381381383,28399.54384624726,74426.74751622818,13438.519564325581,55762.77179814984,37610.645681237715,13225.52831196353,34594.38166913051,41070.0270626191,0.0,30895.90998109404,19688.64568123771
21421.421421421423,28406.026057967392,74498.04854761151,13437.769138513384,55841.305467065526,37649.53730278945,13225.172416175918,34632.480767981564,41148.95872421088,0.0,30933.653184157483,19727.537302789453
21461.461461461462,28412.487199273008,74569.37641780969,13437.02010392673,55919.84351315596,37688.43180854134,13224.816503824914,34670.58565179631,41227.89327000281,0.0,30971.402155621225,19766.431808541343
21501.5015015015,28418.92736048311,74640.7310154372,13436.27245837597,55998.38591754433,37727.329187960146,13224.46057995601,34708.69629446279,41306.830689461654,0.0,31009.156874418797,19805.32918796015
21541.54154154154,28425.346631474564,74712.11222965,13435.526199659354,56076.932661465195,37766.22943056228,13224.104649555287,34746.81267002772,41385.77097210382,0.0,31046.917319583004,19844.229430562275
21581.58158158158,28431.745101684173,74783.51995014276,13434.78132556329,56155.48372626364,37805.13252591346,13223.748717550068,34784.934752695284,41464.71410749505,0.0,31084.68347024535,19883.132525913465
21621.621621621627,28438.12286011088,74854.95406714623,13434.037833862654,56234.039093394465,37844.03846362856,13223.392788809562,34823.06251682593,41543.66008525019,0.0,31122.45530563549,19922.03846362856
21661.661661661667,28444.479995317823,74926.4144714245,13433.295722321043,56312.59874442128,37882.94723337117,13223.036868145498,34861.19593693517,41622.60889503283,0.0,31160.23280508067,19960.947233371167
21701.701701701706,28450.81659543448,74997.9010542724,13432.554988691074,56391.1626610158,37921.858824853436,13222.680960312746,34899.334987692426,41701.56052655514,0.0,31198.015948005173,19999.858824853436
21741.741741741745,28457.132748158754,75069.41370751277,13431.815630714626,56469.73082495689,37960.77322783576,13222.325070009945,34937.47964391983,41780.5149695775,0.0,31235.804713929774,20038.773227835758
21781.781781781785,28463.42854075908,75140.9523234939,13431.077646123107,56548.30321812987,37999.69043212649,13221.969201880107,34975.629880591085,41859.47221390827,0.0,31273.59908247119,20077.69043212649
