10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_3_0,1_T_3_1,3_T_1_0,3_T_1_1,1_T_1,3_T_2,3_A_2
11651.651651651653,25899.65315859631,58269.55869521088,13661.237035648834,36881.974818158356,13282.166198289162,25609.39400386637,0.0,21966.760202155536,28281.60592690359,10359.205926903593,22010.857578555246
11691.691691691693,25915.320168151895,58329.286012855584,13660.23017637372,36958.37600463376,13282.3095983089,25644.60489100689,0.0,22002.11448931579,28319.30309050374,10396.903090503742,22088.594782195432
11731.731731731734,25930.92631187324,58389.09022717098,13659.222331371464,37034.794207672756,13282.445951039317,25679.83885627317,0.0,22037.484807312485,28357.00826952211,10434.60826952211,22166.340001253844
11771.771771771773,25946.47183222944,58448.97101862288,13658.213551256667,37111.22929959564,13282.575345516147,25715.09573356439,0.0,22072.871079080534,28394.721425426156,10472.321425426157,22244.09319719793
11811.811811811813,25961.956971257765,58508.92806856767,13657.203885720086,37187.68115410535,13282.69786967478,25750.375358338846,0.0,22108.273228013622,28432.442519912718,10510.042519912718,22321.85433172453
11851.851851851852,25977.381970554838,58568.96105925809,13656.193383545342,37264.149646267586,13282.813610364377,25785.677567596693,0.0,22143.69117796107,28470.171514906462,10547.771514906462,22399.623366758315
11891.891891891893,25992.74707126794,58629.06967384868,13655.182092625248,37340.63465249137,13282.922653361793,25821.002199862927,0.0,22179.124853224726,28507.908372558308,10585.508372558308,22477.400264450203
11931.931931931933,26008.0525140865,58689.25359640135,13654.17005997791,37417.136050509944,13283.025083385362,25856.349095170553,0.0,22214.574178555915,28545.65305524392,10623.253055243924,22555.18498717586
11971.971971971972,26023.298539233736,58749.51251189062,13653.157331762415,37493.65371936195,13283.120984108451,25891.718095043936,0.0,22250.03907915239,28583.40552556218,10661.005525562181,22632.977497534157
12012.012012012012,26038.485386458447,58809.84610620886,13652.143953294286,37570.18753937303,13283.21043817289,25927.109042482407,0.0,22285.519480655297,28621.165746333652,10698.765746333655,22710.77775834567
12052.052052052055,26053.61329502697,58870.254066171256,13651.129969060597,37646.73739213763,13283.29352720219,25962.52178194398,0.0,22321.015309146176,28658.93368059911,10736.533680599114,22788.58573265117
12092.092092092094,26068.682503715292,58930.73607952075,13650.115422734814,37723.30316050124,13283.370331814629,25997.956159329333,0.0,22356.526491143963,28696.709291618026,10774.309291618029,22866.401383710123
12132.132132132134,26083.69325080129,58991.29183493288,13649.100357191326,37799.884728542864,13283.440931636123,26033.412021965923,0.0,22392.05295360205,28734.49254286709,10812.092542867093,22944.224674999226
12172.172172172173,26098.64577405717,59051.92102202033,13648.084814519725,37876.481981557794,13283.505405312979,26068.88921859236,0.0,22427.594623905345,28772.28339803876,10849.883398038757,23022.05557021093
12212.212212212215,26113.540310742006,59112.62333133753,13647.06883603878,37953.09480604075,13283.563830524436,26104.38759934289,0.0,22463.15142986732,28810.08182103977,10887.681821039769,23099.89403325198
12252.252252252254,26128.377097594443,59173.39845438495,13646.052462310163,38029.723089669234,13283.616283995078,26139.90701573207,0.0,22498.72329972715,28847.8877759897,10925.487775989703,23177.740028241955
12292.292292292293,26143.156370825607,59234.2460836135,13645.0357331519,38106.3667212872,13283.662841507077,26175.447320639738,0.0,22534.310162146816,28885.701227219557,10963.301227219556,23255.593519511847
12332.332332332333,26157.87836611203,59295.16591242855,13644.018687651576,38183.02559088901,13283.703577912267,26211.00836829599,0.0,22569.911946208253,28923.522139270295,11001.122139270294,23333.454471602625
12372.372372372374,26172.543318588858,59356.15763519403,13643.00136417925,38259.69958960363,13283.738567144064,26246.590014266443,0.0,22605.528581410512,28961.350476891443,11038.950476891441,23411.322849263815
12412.412412412414,26187.151462843132,59417.22094723623,13641.983800400194,38336.38860967917,13283.767882229253,26282.19211543769,0.0,22641.159997666946,28999.18620503968,11076.78620503968,23489.198617452093
12452.452452452453,26201.703032907197,59478.355544847676,13640.966033287303,38413.09254446757,13283.791595299572,26317.81453000284,0.0,22676.806125302413,29037.029288877435,11114.629288877435,23567.081741329886
12492.492492492493,26216.1982622523,59539.561125290704,13639.948099133331,38489.81128840967,13283.809777603197,26353.45711744731,0.0,22712.466895050504,29074.879693771498,11152.479693771498,23644.972186263993
12532.532532532534,26230.637383782298,59600.83738680102,13638.930033562876,38566.544737020435,13283.822499516053,26389.119738534722,0.0,22748.14223805078,29112.737385291657,11190.337385291656,23722.86991782419
12572.572572572573,26245.020629827508,59662.18402859111,13637.911871544136,38643.292786874474,13283.829830552979,26424.802255293063,0.0,22783.832085846043,29150.60232920931,11228.202329209307,23800.774901781882
12612.612612612613,26259.3482321387,59723.60075085354,13636.893647400426,38720.0553355918,13283.83183937873,26460.504531000886,0.0,22819.536370379614,29188.474491496112,11266.074491496114,23878.68710410873
12652.652652652652,26273.620421881213,59785.08725476409,13635.875394821507,38796.832281823794,13283.828593818875,26496.226430173774,0.0,22855.25502399265,29226.353838322648,11303.95383832265,23956.606490975304
12692.692692692694,26287.837429629217,59846.64324248493,13634.857146874696,38873.623525239454,13283.820160870517,26531.967818550933,0.0,22890.98797942145,29264.240336057075,11341.840336057074,24034.533028749767
12732.732732732733,26301.999485360106,59908.268417167434,13633.838936015727,38950.42896651181,13283.806606712886,26567.72856308192,0.0,22926.73516979481,29302.13395126377,11379.73395126377,24112.466683996507
12772.772772772772,26316.10681844902,59969.962482955125,13632.820794099482,39027.24850730467,13283.787996717794,26603.508531913583,0.0,22962.496528631375,29340.034650702073,11417.634650702075,24190.407423474848
12812.812812812812,26330.159657663484,60031.725144986354,13631.802752390431,39104.082050259414,13283.76439545994,26639.307594377093,0.0,22998.27198983703,29377.942401324923,11455.542401324921,24268.355214137737
12852.852852852855,26344.158231158195,60093.556109396945,13630.784841572962,39180.92949898219,13283.7358667271,26675.125620975195,0.0,23034.061487702293,29415.857170277573,11493.457170277576,24346.310023130427
