10Dq,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_E_0,2_E_1,2_E_2,2_E_3,4_T_1_0,4_T_1_1,4_A_2,4_T_2,2_A_1,2_A_2
18498.4984984985,28010.65427958928,37380.40468671059,50917.68098545749,58561.66335898015,85330.47168025347,19866.615867055014,38026.82310842871,44119.17282161055,56019.79562810654,65441.12356579019,19026.027442229122,40273.45229924548,62439.90359105938,85532.48515995852,27113.802384371276,42151.693111124216,0.0,18498.498498498495,34569.00649849849,52929.00649849849
18538.538538538538,28019.58800234424,37421.49833624732,50960.3958378496,58635.2781976032,85404.35485718685,19867.894386842865,38066.812076687565,44162.8532161105,56099.46461818853,65516.74693340175,19027.530310958933,40313.48883564165,62502.94387461149,85628.10567148062,27160.22026543454,42225.395350181076,0.0,18538.538538538534,34609.04653853853,52969.04653853853
18578.57857857858,28028.499642863284,37462.59059494199,51003.060901998826,58708.94872447182,85478.25560719556,19869.168641010438,38106.801399293516,44206.52014996679,56179.13529615149,65592.38598504924,19029.029977472164,40353.52528524091,62565.86777429301,85723.84585588683,27206.609696297233,42299.12603943851,0.0,18578.57857857858,34649.086578578586,53009.086578578586
18618.61861861862,28037.389281086926,37503.68145532543,51045.67681293638,58782.674301459534,85552.17386090348,19870.43865182813,38146.79107315304,44250.17368795282,56258.807651701994,65668.04064707574,19030.52645448047,40393.56164918455,62628.675784987194,85819.70520444089,27252.970831298382,42372.88502455748,0.0,18618.61861861862,34689.126618618626,53049.126618618626
18658.65865865866,28046.256996478656,37544.770910134604,51088.2441978605,58856.45429821399,85626.10954926422,19871.704441404458,38186.78109520547,44293.81389448936,56338.48167462961,65743.71084622305,19032.019754613273,40433.597928599636,62691.36840238798,85915.6832076924,27299.303823978673,42446.67215199731,0.0,18658.65865865866,34729.166658658665,53089.166658658665
18698.6986986987,28055.10286803029,37585.85895230893,51130.763676204995,58930.28809208851,85700.06260355946,19872.966031687585,38226.77146242258,44337.44083364647,56418.15735480588,65819.39650962969,19033.50989041847,40473.63412459929,62753.94612294272,86011.77935553303,27345.608827081942,42520.48726901416,0.0,18698.6986986987,34769.206698698705,53129.206698698705
18738.738738738743,28063.926974267117,37626.94557498621,51173.235859708664,59004.17506807318,85774.0329553973,19874.223444466836,38266.76217180814,44381.054569145286,56497.8346821836,65895.09756482861,19034.99687436324,40513.67023828277,62816.409443795645,86107.99313725208,27391.885992556745,42594.33022365949,0.0,18738.738738738746,34809.246738738744,53169.246738738744
18778.778778778782,28072.729393253052,37668.03077149887,51215.66135248559,59078.114618724634,85848.02053671055,19875.47670137418,38306.75322039756,44424.65516435991,56577.51364679597,65970.81393974507,19036.480718834686,40553.70627073568,62878.758862731935,86204.32404159162,27438.135471557944,42668.20086477841,0.0,18778.778778778786,34849.28677877878,53209.28677877878
18818.81881881882,28081.510202595677,37709.114535370245,51258.04075109642,59152.10614409558,85922.02527975505,19876.725823885725,38346.74460525749,44468.24268231927,56657.19423875582,66046.54556269464,19037.961436140657,40593.74222303022,62940.99487812242,86300.77155680081,27484.3574144484,42742.09904200807,0.0,18818.818818818825,34889.32681881882,53249.32681881882
18858.85885885886,28090.269479451155,37750.196860311014,51300.374644619835,59226.149051663124,85996.04711710801,19877.97083332313,38386.73632348541,44511.81718570902,56736.87644825479,66122.29236238082,19039.43903851041,40633.778096225346,63003.117988868806,86397.33517068977,27530.551970800698,42816.02460577589,0.0,18858.858858858865,34929.36685885886,53289.36685885886
18898.8988988989,28099.007300529152,37791.277740215446,51342.66361472523,59300.242756256994,86070.08598166663,19879.21175085511,38426.72837220929,44555.37873687323,56816.56026556265,66198.05426789314,19040.913538095323,40673.81389136689,63065.12869434961,86494.01437068272,27576.719289398905,42889.9774072978,0.0,18898.898898898904,34969.4068988989,53329.4068988989
18938.93893893894,28107.723742097587,37832.35716915807,51384.90823574525,59374.38667998683,86144.1418066459,19880.44859749882,38466.72074858715,44598.927397816384,56896.24568102638,66273.83120870491,19042.38494696962,40713.84960948778,63127.02749436681,86590.80864387052,27622.859518240406,42963.957298576424,0.0,18938.938938938943,35009.44693893894,53369.44693893894
18978.97897897898,28116.418879987352,37873.43514139006,51427.10907474955,59448.58025216933,86218.21452557761,19881.681394121264,38506.713449806746,44642.46323020511,56975.93268506953,66349.62311467125,19043.85327713105,40753.88525160823,63188.81488909302,86687.7174770626,27668.9728045378,43037.964132399145,0.0,18978.978978978983,35049.48697897898,53409.48697897898
19019.01901901902,28125.092789596958,37914.51165133607,51469.26669161812,59522.822909254755,86292.30407230825,19882.910161440694,38546.70647308517,44685.98629537004,57055.6212681914,66425.42991602683,19045.318540501583,40793.9208187359,63250.49137901928,86784.74035683836,27715.0592947208,43111.997762336265,0.0,19019.019019019022,35089.52701901902,53449.52701901902
19059.059059059062,28133.745545897076,37955.586693590674,51511.38163911566,59597.11409475331,86366.41038099765,19884.13492002799,38586.69981566853,44729.49665430758,57135.31142096636,66501.25154338393,19046.780748928035,40833.95631186601,63312.05746490376,86881.8767695975,27761.11913443823,43186.05804273895,0.0,19059.059059059062,35129.56705905906,53489.56705905906
19099.0990990991,28142.377223435036,37996.66026291539,51553.45446296573,59671.45325916118,86440.5333861173,19885.355690308013,38626.69347483152,44772.99436768178,57215.00313404307,66577.08792773022,19048.23991418284,40873.99173198163,63373.51364772069,86979.12620161036,27807.152468560056,43260.14482873725,0.0,19099.0990990991,35169.6070990991,53529.6070990991
19139.13913913914,28150.987896339226,38037.73235423525,51595.48570192533,59745.83985988634,86514.67302244868,19886.572492560954,38666.68744787715,44816.479495826105,57294.696398143744,66652.93900042686,19049.6960479646,40914.027080053704,63434.86042861036,87076.48813906706,27853.159441179425,43334.25797623799,0.0,19139.13913913914,35209.64713913914,53569.64713913914
