10Dq,2_A_1_0,2_A_1_1,2_A_1_2,2_A_1_3,2_A_2_0,2_A_2_1,2_A_2_2,2_E_0,2_E_1,2_E_2,2_E_3,2_E_4,2_E_5,2_E_6,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_1_5,2_T_1_6,2_T_1_7,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_2_5,2_T_2_6,2_T_2_7,2_T_2_8,2_T_2_9,4_A_1,4_A_2,4_E_0,4_E_1,4_T_1_0,4_T_1_1,4_T_1_2,4_T_2_0,4_T_2_1,4_T_2_2,6_A_1
35555.555555555555,46657.53451381132,62988.781327686585,76359.76695683523,120922.49864642296,30872.01331626215,72368.88154193718,102865.54122536775,35514.38268612676,53920.897126362805,67169.75950741288,76653.48877927357,87875.87744198463,109312.43400556582,138328.1779815968,31167.034322771055,41592.78234066391,70812.3987534228,72427.80656509282,81116.84664739747,98299.38391954353,104295.92486658783,121764.98547403279,0.0,33464.68820519507,44182.388713414795,64370.93223670787,70658.78389299041,84139.37246635402,102240.94031052271,110669.59827487709,115592.11074692672,149562.6387649016,49712.145361189025,67732.14536118903,49712.145361189025,55732.145361189025,17548.12279362361,64803.542449705514,89924.77084023794,23958.542923131583,52400.767891824406,96817.1252686111,21862.145361189025
35595.5955955956,46698.49900737983,63066.54012470201,76437.65814512194,121039.65332401232,30910.836068484292,72447.4883903556,102983.43849207216,35553.84664251612,53971.16366691954,67245.87900428023,76729.48739914095,87952.52601078807,109428.68259996959,138442.52822851366,31205.871387181076,41633.67246793248,70890.83922484168,72506.28064864979,81197.15521279458,98388.80927319737,104406.91186394109,121875.16112389418,0.0,33504.2423845088,44221.90256575364,64449.22809399028,70737.0047700095,84220.53749074173,102332.66315415021,110775.69784575453,115712.11679250069,149712.48340563086,49790.58765030403,67810.58765030402,49790.58765030403,55810.58765030403,17586.934578841698,64882.81934327346,90042.00902879692,23998.053435901176,52478.96577435624,96934.74374065467,21940.587650304027
35635.63563563564,46739.45836494918,63144.304629965045,76515.55361041595,121156.81314331174,30949.660444360557,72526.09718336516,103101.33968375572,35593.310950438885,54021.4042906985,67322.00834827112,76805.49324819024,88029.18229557619,109544.93980308338,138556.88812386504,31244.71005386143,41674.561199812066,70969.28220028889,72584.75712481084,81277.46113804459,98478.1614325464,104517.96682043017,121985.3595274895,0.0,33543.7970682709,44261.41583295372,64527.52701471283,70815.22891192444,84301.69563758271,102424.33387495854,110881.84994152548,115832.1193275123,149862.35676216386,49869.03243716048,67889.03243716048,49869.03243716048,55889.03243716048,17625.748121367782,64962.095706139204,90159.25348397445,24037.563809988776,52557.16697729293,97052.36652419974,22019.03243716048
35675.67567567568,46780.41261706167,63222.074816757486,76593.45333940597,121273.9780906367,30988.486440823828,72604.70791764479,103219.24478942773,35632.775610855766,54071.619071801586,67398.14750880022,76881.50631932027,88105.84627292518,109661.20558462702,138671.25764342817,31283.550319850954,41715.44853947767,71047.72767394243,72663.23598824385,81357.76443490616,98567.44106972226,104629.08908380353,122095.58061777677,0.0,33583.35225612673,44300.9285215223,64605.828990064,70893.45630938702,84382.8469422847,102515.95261575564,110988.05442825484,115952.11837373437,150012.25872252497,49947.479715965455,67967.47971596546,49947.479715965455,55967.479715965455,17664.56341744797,65041.37154721599,90276.50418323242,24077.07404896326,52635.37149116438,97169.99360776873,22097.479715965455
35715.71571571572,46821.36179403376,63299.850658553645,76671.35731883795,121391.14815235247,31027.314054814084,72683.32058987819,103337.15379814108,35672.24062471642,54121.80808418921,67474.2964553498,76957.52660534316,88182.51791948521,109777.47991446615,138785.63676306122,31322.39218219492,41756.33449009563,71126.17563999887,72741.71723363269,81438.06511508819,98656.64885256153,104740.27800607705,122205.8243279068,0.0,33622.90794771935,44340.44063791982,64684.134011271395,70971.68695308796,84463.99144006442,102607.51952091738,111094.31117038669,116072.11395282303,150162.18917525455,50025.929480944455,68045.92948094445,50025.929480944455,56045.929480944455,17703.380463339177,65120.646875346516,90393.76110414768,24116.584156367884,52713.57930653932,97287.62497992616,22175.929480944455
35755.75575575576,46862.305925958164,63377.63212901864,76749.26553551482,121508.32331487394,31066.14328327844,72761.93519675371,103455.06669899198,35711.70599295971,54171.97140167948,67550.45515746996,77033.55409898552,88259.19721198059,109893.76276261164,138900.02545870282,31361.23563794492,41797.21905482356,71204.62609267334,72820.20085567707,81518.36319025015,98745.78544453098,104851.53294360827,122316.09059122286,0.0,33662.46414268948,44379.9521885604,64762.44206960177,71049.92083375703,84545.12916594867,102699.03473635376,111200.6200307779,116192.10608631803,150312.14800940684,50104.38172634139,68124.38172634138,50104.38172634139,56124.38172634139,17742.199255309155,65199.92169930363,90511.02422441138,24156.09413572049,52791.79041402525,97405.2606292784,22254.381726341388
35795.7957957958,46903.245042705894,63455.4192020066,76827.17797629608,121625.50356466527,31104.97412317109,72840.55173496445,103572.98348111985,35751.17171651371,54222.109097947265,67626.62358477945,77109.5887928896,88335.88412720928,110010.05409921835,139014.4237063715,31400.080684158933,41838.10223681051,71283.07902619944,72898.68684909254,81598.65867200201,98834.85150465756,104962.8532571659,122426.37934126072,0.0,33702.02084067577,44419.46317981212,64840.75315636056,71128.15794216245,84626.26015477526,102790.49840947549,111306.9808707321,116312.0947956434,150462.1351145474,50182.836446418456,68202.83644641846,50182.836446418456,56202.836446418456,17781.01978963641,65279.19602779075,90628.29352182824,24195.60399051372,52870.004804268065,97522.90054447358,22332.836446418456
35835.83583583584,46944.17917392819,63533.21185155877,76905.09462809758,121742.6888882396,31143.806571453228,72919.17020120818,103690.90413370669,35790.637796295734,54272.221246523244,67702.80170696562,77185.63067961442,88412.57864204296,110126.3538945845,139128.83148216567,31438.927317901213,41878.98403919682,71361.5344348291,72977.1752086104,81678.95157190486,98923.84768746243,105074.23831199534,122536.69051174814,0.0,33741.5780413145,44458.97361799746,64919.067262891745,71206.39826911103,84707.38444119412,102881.91068916064,111413.39355003278,116432.0801021078,150612.15038075033,50261.29363545604,68281.29363545604,50261.29363545604,56281.29363545604,17819.84206261004,65358.46986944241,90745.56897431565,24235.11372421506,52948.2224679519,97640.54471420117,22411.293635456037
35875.87587587588,46985.10834905868,63611.01005190195,76983.01547789123,121859.87927215913,31182.640625093194,72997.79059218758,103808.82864597745,35830.10423321254,54322.30792079321,67778.98949378531,77261.67975163703,88489.28073342715,110242.66211915074,139243.24876226325,31477.77553624243,41919.8644651143,71439.9923128327,73055.66592897769,81759.24190147084,99012.7746428994,105185.68747787963,122647.024036605,0.0,33781.135744239946,44498.483509393656,64997.3843805776,71284.64180544767,84788.50205966839,102973.27172572145,111519.8579269773,116552.06202690484,150762.1936985966,50339.75328775275,68359.75328775274,50339.75328775275,56359.75328775275,17858.666070529995,65437.74323282501,90862.85055990325,24274.62334026721,53026.44339579897,97758.19312719206,22489.75328775275
35915.91591591592,47026.032597315265,63688.81377744657,77060.94051270469,121977.07470303462,31221.476281066356,73076.41290461001,103926.75700719946,35869.571028160426,54372.369193997176,67855.18691506499,77337.73600135349,88565.9903783804,110358.9787434994,139357.67552292108,31516.62533625957,41960.74351768619,71518.45265449879,73134.15900495714,81839.52967216333,99101.63301629768,105297.20012919657,122757.37984994301,0.0,33820.693949084176,44537.99286023295,65075.70450083845,71362.8885420554,84869.61304447534,103064.58167087121,111626.37385840988,116672.04059111406,150912.26495917127,50418.21539762528,68438.21539762529,50418.21539762528,56438.21539762528,17897.49180970678,65517.016126437185,90980.13825673188,24314.13284208819,53104.667578569395,97875.84577221825,22568.21539762528
35955.95595595596,47066.95194770198,63766.62300278499,77138.86971962097,122094.27516752516,31260.313536355043,73155.03713518765,104044.68920668215,35909.03818202509,54422.405139228424,67931.39394070109,77413.79942108004,88642.7075539949,110475.30373835334,139472.11174047503,31555.476715035868,42001.621200027126,71596.91545413405,73212.65443132698,81919.81489539728,99190.42344830817,105408.7756449712,122867.75788606552,0.0,33860.25265547715,44577.5016767031,65154.02761513234,71441.13846985498,84950.7174297073,103155.8406776913,111732.94119975471,116792.01581570075,151062.3640540611,50496.67995940828,68516.67995940827,50496.67995940828,56516.67995940828,17936.31927646148,65596.28855871031,91097.43204305306,24353.64223307139,53182.895007060855,97993.50263809258,22646.679959408277
35995.995995995996,47107.866429011076,63844.4377026899,77216.8030857782,122211.48065233816,31299.15238794861,73233.66328063741,104162.62523377697,35948.505695682084,54472.415829432866,68007.61054066058,77489.87000305424,88719.432237436,110591.63707457541,139586.5573913391,31594.329669660892,42042.497515243296,71675.3807060633,73291.15220288101,82000.09758253924,99279.14657485434,105520.4134089254,122978.15807946715,0.0,33899.811863046736,44617.009964947414,65232.35371495494,71519.39157980471,85031.81524927288,103247.04890059849,111839.55980504901,116911.98772151709,151212.49087535212,50575.14696745433,68595.14696745433,50575.14696745433,56595.14696745433,17975.148467125742,65675.56053800913,91214.73189722812,24393.151516585876,53261.12567210848,98111.16371366865,22725.146967454333
36036.036036036036,47148.776069824846,63922.2578521125,77294.74059836942,122328.69114422888,31337.992832843396,73312.29133768109,104280.56507787725,35987.97356999651,54522.40133740821,68083.83668498123,77565.94773943606,88796.16440594211,110707.97872316753,139701.01245200573,31633.184197230512,42083.372466432425,71753.84840462943,73369.65231442853,82080.37774490772,99367.80302708622,105632.11280952257,123088.58036483396,0.0,33939.371571418684,44656.517731065476,65310.68279183911,71597.6478629003,85112.90653689779,103338.20649531228,111946.22952697595,117031.95632930222,151362.6453156274,50653.61641613392,68673.61641613391,50653.61641613392,56673.61641613392,18013.979378041768,65754.8320726323,91332.03779772771,24432.660695976567,53339.359564584636,98228.82898784056,22803.61641613392
36076.076076076075,47189.680898517545,64000.0834261809,77372.68224464217,122445.90663000039,31376.834868042697,73390.9213030453,104398.50872841777,36027.44180582339,54572.361735803126,68160.07234377196,77642.0326223089,88872.90403682456,110824.3286552697,139815.4768990451,31672.040294846818,42124.24605668364,71832.31854419314,73448.15476079422,82160.65539377322,99456.39343133863,105743.8732400095,123199.02467704285,0.0,33978.93178021681,44696.024981113296,65389.014837354865,71675.90731017457,85193.99132612592,103429.31361882249,112052.95021689704,117151.92165968264,151512.82726796487,50732.08829983525,68752.08829983525,50732.08829983525,56752.08829983525,18052.812005562148,65834.1031708128,91449.34972313078,24472.169774564303,53417.596675398716,98346.49844954273,22882.088299835254
36116.116116116114,47230.58094325726,64077.91440019852,77450.6280118982,122563.12709650335,31415.678490556795,73469.55317346146,104516.45617487475,36066.910404007634,54622.29709711661,68236.31748721337,77718.1246436808,88949.65110746764,110940.68684215941,139929.95070910492,31710.897959618225,42165.11828907776,71910.7911191331,73526.65953681817,82240.93054035862,99544.91840909285,105855.69409845427,123309.49095116163,0.0,34018.49248906288,44735.53172110357,65467.34984310908,71754.16991269743,85275.06965032034,103520.37042935714,112159.72172488482,117271.8837331734,151663.03662593465,50810.562612964335,68830.56261296434,50810.562612964335,56830.562612964335,18091.64634605009,65913.37384071866,91566.66765212426,24511.67875564615,53495.83699549702,98464.17208774984,22960.562612964335
36156.156156156154,47271.476232007684,64155.750749642284,77528.57788749321,122680.35253063554,31454.52369740281,73548.18694566582,104634.40740676541,36106.37936538404,54672.20749369705,68312.57208555771,77794.22379548536,89026.40559532813,111057.0532552505,140044.4338589099,31749.757188659318,42205.98916668707,71989.26612384571,73605.16663735567,82321.20319583913,99633.37857694147,105967.57478778041,123419.97912244874,0.0,34058.05369757652,44775.03795700615,65545.68780074512,71832.43566157532,85356.14154266429,103611.3770863502,112266.54389975494,117391.84257017754,151813.2732835968,50889.03934994469,68909.03934994468,50889.03934994469,56909.03934994469,18130.48239587898,65992.64409045313,91683.99156350197,24551.187642495366,53574.08051586235,98581.84989147633,23039.039349944687
36196.1961961962,47312.36679253011,64233.59245016124,77606.53185883668,122797.58291934204,31493.370485604875,73626.82261639959,104752.36241364808,36145.848690777595,54722.09299774181,68388.83610912983,77870.330069583,89103.16747793573,111173.42786609285,140158.9263252618,31788.617979091003,42246.85869257559,72067.7435527452,73683.6760572774,82401.47337134276,99721.7745465571,106079.51471579837,123530.48912635277,0.0,34097.61540537561,44814.54369474827,65624.02870194282,71910.70454795146,85437.2070361621,103702.33375040977,112373.41658909843,117511.79819098758,151963.53713549915,50967.518505217515,68987.51850521751,50967.518505217515,56987.518505217515,18169.32015143273,66071.91392805558,91801.32143616426,24590.696438361832,53652.327227514055,98699.53184977666,23117.518505217515
