10Dq,2_A_1,2_A_2,2_E_0,2_E_1,2_E_2,2_E_3,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,4_A_2,4_T_1_0,4_T_1_1,4_T_2
6573.603603603604,23003.176672637277,42423.17667263727,13909.862997751865,28755.167212023785,32416.05858566477,64277.014291505046,18693.815508554722,23378.187627840518,26786.951987046625,31797.50456863962,41770.82006750131,18898.519648133235,26187.775191069224,31445.808006641157,40686.35563114258,64562.82128259658,12198.78027624088,0.0,19241.74974167095,5625.176672637277
6598.693693693694,23025.70807315433,42445.708073154325,13887.10084206955,28779.84952543395,32457.24537659681,64298.9428548233,18693.57384439082,23381.443449620365,26808.69351372778,31834.584160314753,41796.551704024234,18900.752877836872,26204.415065546535,31474.236434724797,40699.88018584872,64589.56210812102,12246.401766848021,0.0,19261.722452614962,5647.708073154328
6623.783783783783,23048.245453523374,42468.24545352337,13864.32488885718,28804.515204419913,32498.471395367756,64320.88654166487,18693.322717651423,23384.691249100382,26830.447860498796,31871.643293770867,41822.338362811635,18902.969683403982,26221.070396259965,31502.662329689414,40713.39540906242,64616.34566541732,12294.029237307157,0.0,19281.707123262968,5670.245453523374
6648.873873873873,23070.7887951701,42490.7887951701,13841.535283137577,28829.16451366138,32539.736185417096,64342.84532459046,18693.062253495664,23387.931042853812,26852.21493365967,31908.6817819954,41848.1800899721,18905.170173318682,26237.741082180168,31531.085611436487,40726.90133753924,64643.17189750206,12341.662669043975,0.0,19301.70371646633,5692.788795170101
6673.9639639639645,23093.33807958601,42513.338079586014,13818.732167923943,28853.797714487617,32581.039295672483,64364.81917629605,18692.792575500174,23391.162847484622,26873.994640540455,31945.69943911586,41874.076931324984,18907.35445549473,26254.427022186803,31559.506200575866,40740.398008438235,64670.040747270454,12389.302043549975,0.0,19321.712195208056,5715.33807958601
6699.054054054054,23115.89328832822,42535.893288328225,13795.915684253418,28878.41506489453,32622.380280498553,64386.80806961234,18692.513805680348,23394.3866796266,26895.786889487437,31982.696080401944,41900.028932390735,18909.52263727498,26271.12811507969,31587.924018413734,40753.885459321384,64696.9521574973,12436.947342382276,0.0,19341.732522602386,5737.893288328221
6724.144144144144,23138.454403019226,42558.454403019234,13773.08597122005,28903.0168195629,32663.75869964523,64408.81197750458,18692.226064511287,23397.60255594241,26917.591589849508,32019.671522267716,41926.03613838108,18911.674825430906,26287.844259589452,31616.33898694062,40767.36372815283,64723.90607083819,12484.598547163372,0.0,19361.76466189431,5760.454403019228
6749.2342342342345,23161.02140534669,42581.02140534669,13750.243166007063,28927.603229878063,32705.174118195406,64430.830873072,18691.92947094852,23400.81049312272,26939.40865196477,32056.625582273882,41952.09859418933,18913.811126162367,26304.575354388104,31644.75102881979,40780.83285329837,64750.90242983062,12532.255639580926,0.0,19381.80857645915,5783.021405346693
6774.324324324324,23183.594277063195,42603.594277063195,13727.3874039185,28952.17454395033,32746.626106512053,64452.86472954755,18691.624142448312,23404.0105078853,26961.237987147284,32093.55807913023,41978.21634438051,18915.931645097193,26321.32129809911,31673.160067375546,40794.29287352467,64777.941176895154,12579.918601387517,0.0,19401.86422980206,5805.594277063194
6799.414414414414,23206.172999986033,42626.17299998603,13704.51881841032,28976.731006636885,32788.11424018508,64474.91352029741,18691.31019498784,23407.202616974155,26983.079507674003,32130.46883269817,42004.38943318157,18918.036487291138,26338.08198930747,31701.5660265821,40807.74382799865,64805.0222543364,12627.587414400445,0.0,19421.931585557646,5828.172999986031
6824.5045045045035,23228.75755599697,42648.75755599697,13681.637541120841,29001.272859564313,32829.6380999776,64496.9772188206,18690.98774308496,23410.386837158625,27004.93312677197,32167.357663993418,42030.61790447138,18920.125757227666,26354.857326569265,31729.968831052174,40821.18575628697,64832.14560434429,12675.262060501476,0.0,19442.010607489443,5850.757555996972
6849.594594594595,23251.347927042065,42671.347927042065,13658.743701900645,29025.800341152215,32871.197271772035,64519.055798748755,18690.656899817783,23413.56318523257,27026.79875860563,32204.224395188787,42056.90180177096,18922.199558818054,26371.64720842116,31758.368406026173,40834.61869835523,64859.31116899512,12722.942521636658,0.0,19462.10125948953,5873.347927042063
6874.684684684685,23273.94409513136,42693.94409513136,13635.837428841845,29050.31368663764,32912.79134651579,64541.14923384547,18690.31777684393,23416.731678013486,27048.67631826427,32241.06884961701,42083.241168233435,18924.25799540131,26388.451533389503,31786.764677361185,40848.04269456751,64886.51889025261,12770.628779816043,0.0,19482.203505578032,5895.944095131359
6899.774774774774,23296.546042338756,42716.546042338756,13612.918848306916,29074.81312810027,32954.41992016696,64563.25749800607,18689.970484419562,23419.892332341704,27070.56572174982,32277.89085177384,42109.6360466341,18926.30116974443,26405.270199999293,31815.15757152048,40861.45778568555,64913.76870996924,12818.32081711353,0.0,19502.317309902734,5918.546042338756
6924.864864864865,23319.15375080172,42739.15375080172,13589.98808495684,29099.298894488275,32996.08259363952,64585.38056525737,18689.61513141808,23423.045165079537,27092.46688596464,32314.690227321087,42136.08647936041,18928.32918404255,26422.103106782815,31843.54701556288,40874.86401286833,64941.06056988715,12866.018615666584,0.0,19522.44263673857,5941.153750801721
6949.954954954955,23341.76720272109,42761.767202721094,13567.045261778832,29123.771211644977,33037.77897274868,64607.51840975693,18689.251825348634,23426.19019311045,27114.379728699583,32351.46680308987,42162.592508401955,18930.34213991921,26438.950152288115,31871.93293713244,40888.26141767134,64968.3944116394,12913.722157676044,0.0,19542.579450487225,5963.76720272109
6975.045045045044,23364.386380360862,42784.38638036086,13544.09050011347,29148.230302335953,33079.50866815602,64629.671005792945,18688.880672374347,23429.327433338323,27136.304168622213,32388.220407083914,42189.15417534047,18932.340138426756,26455.811235087167,31900.315264448276,40901.650042046036,64995.770176751015,12961.431425405906,0.0,19562.727715676683,5986.386380360862
7000.135135135135,23387.011266047957,42807.01126604796,13521.123919681337,29172.676386276857,33121.27129531461,64651.83832778389,18688.501777330264,23432.45690268657,27158.240125265173,32424.950868482993,42215.77152133966,18934.323280046763,26472.686253783922,31928.693926294545,40915.02992833918,65023.18780664028,13009.146401183094,0.0,19582.887396960778,6009.011266047957
7025.225225225226,23409.64184217199,42829.641842171986,13498.145638609203,29197.109680161535,33163.06647441406,64674.02035027793,18688.115243741064,23435.578618097396,27180.187519014744,32461.65801764635,42242.44458713518,18936.291664690467,26489.575107021967,31957.068852010452,40928.40111929228,65050.64724261957,13056.867067397216,0.0,19603.058459118754,6031.64184217199
7050.315315315315,23432.27809118507,42852.27809118507,13475.155773455637,29221.530397690854,33204.89383032579,64696.21704795267,18687.72117383854,23438.69259653103,27202.146271099533,32498.341686116408,42269.17341302453,18938.245391699398,26506.47769349217,31985.43997148065,40941.763658040996,65078.14842589684,13104.593406500388,0.0,19623.24086705483,6054.278091185071
7075.405405405405,23454.91999560158,42874.91999560158,13452.154439236208,29245.938749601723,33246.752992548114,64718.42839561486,18687.319668578817,23441.798854964916,27224.11630357941,32535.0017066224,42295.958038856974,18940.18455984596,26523.393911939944,32013.80721512552,40955.1175881146,65105.691297576464,13152.325401006987,0.0,19643.43458579776,6076.919995601582
7100.495495495496,23477.56753799795,42897.56753799795,13429.141749448208,29270.334943696602,33288.64359515166,64740.654368199845,18686.910827659336,23444.897410393016,27246.097539334463,32571.637913084123,42322.79850402333,18942.10926733415,26540.323661172406,32042.170513891793,40968.46295343534,65133.275798660616,13200.063033493447,0.0,19663.639580500407,6099.567537997953
7125.585585585585,23500.220701012426,42920.220701012426,13406.117816094842,29294.719184873305,33330.56527672471,64762.894940771264,18686.494749535577,23447.98827982499,27268.08990205426,32608.250140615826,42349.69484744589,18944.019611800264,26557.26684006523,32070.529799243144,40981.799798317836,65160.901870050104,13247.806286598012,0.0,19683.855816439267,6122.2207010124275
7150.675675675675,23522.87946734488,42942.87946734488,13383.082749709085,29319.091675155076,33372.5176803189,64785.15008852075,18686.071531437618,23451.071480285507,27290.093316227147,32644.83822553017,42376.64710756828,18945.915690313763,26574.223347569437,32098.88500315111,40995.12816746859,65188.56945254584,13295.555143020556,0.0,19704.08325901409,6144.879467344881
7175.7657657657655,23545.543819756575,42965.543819756575,13360.036659377032,29343.452613720987,33414.50045339499,64807.41978676752,18685.641269386353,23454.147028813502,27312.107707129813,32681.402005342155,42403.655322345294,18947.797599378122,26591.19308271789,32127.236058085953,41008.44810598543,65216.278486849704,13343.309585522344,0.0,19724.32187374739,6167.543819756576
